"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1081","PDCR","","Italy","STROMBOLI PUNTA DEI CORVI ","bgan","","","","","0.016'","  [open]  ","15","38"
"1082","PE09","","Italy","Porto empedocle ","web","","0","07:23","2h","5'","  [open]  ","13.52684","37.28576"
"1084","pedn","","Chile","Puerto Eden CL ","SXCH40","ADC03D76","4.94","07:23","2h","5'","  [open]  ","-74.408639","-49.129786"
"1085","pedn2","","Chile","Puerto Eden CL ","web","","5.14","07:21","2h","5'","  [open]  ","-74.408639","-49.129786"
"1086","peir","","Greece","Peiraias ","ftp","","0.71","07:15","2h","5'","  [open]  ","23.621217","37.934733"
"1088","penr","143","Cook Islands","Penrhyn CK ","SZXX01","300434068595910","1.39","07:20","2h","5'","  [open]  ","-158.051","-9.001"
"1090","petr","93","Russia","Petropavlovsk ","web","","3.36","07:14","2h","10'","  [open]  ","158.65","53.016667"
"1091","pfla","","USA","Fort Fourchon LA ","SXXX03","334FE204","","","","1h","  [open]  ","-90.2","29.12"
"1092","pgrau","","Perú","Puerto Grau,Tacna PE ","web","","2.24","2023-10-28 09:51","311d","5'","  [open]  ","-70.88416","-17.99333"
"1093","phar","","Hawaii","Pearl Harbor ","SXXX20","33A4B45A","","","","6'","  [open]  ","-157.9633","21.3667"
"1094","phbc","","Canada","Port Hardy ","SXAK50","CD4038A0","4.12","07:28","2h","5'","  [open]  ","-127.483333","50.716667"
"1096","phpa","","USA","Philadelphia PA ","SXXX03","33661532","","","","6'","  [open]  ","-75.1416","39.9333"
"1097","pich","","Chile","Pichidangui CL ","SXCH40","ADC008EC","3.78","07:21","2h","5'","  [open]  ","-71.529306","-32.135611"
"1098","pich2","","Chile","Pichidangui CL ","web","","3.81","07:25","2h","5'","  [open]  ","-71.529306","-32.135611"
